ingredient_extracted,ingredient_standardized,frecuencia
maiz congelado,maiz congelado,1
frijoles canarios secos remojados durante la noche,frijol,1
frijoles canarios cocidos,frijol,1
frijoles antioquenos,frijol,1
frijol canario remojados durante la noche,frijol,1
fresas por la,fresa por,1
fresas frescas,fresa,1
frambuesas,frambuesa,1
fideos en pedazos pequenos,fideo en pedazo,1
fecula de maiz o maizena,fecula de maiz o maizena,1
maiz amarillo agrietada,maiz agrietada,1
maiz,maiz,1
maicena o almidon de maiz,maicena o almidon de maiz,1
mahimahi bacalao o su pescado favorito,mahimahi bacalao o su pescado favorito,1
mahi mahi en pequenos,mahi mahi,1
lulos pelados y en pure,lulo y en pure,1
espinazo de cerdo o costillas de cerdo en pedazos,espinazo de cerdo o costilla de cerdo en pedazo,1
ensalada de col,ensalada de col,1
el jugo de 3 limones grandes,jugo de 3 limon,1
el jugo de 3 limones,jugo de 3 limon,1
el jugo de 2 limones dividido,jugo de 2 limon dividido,1
el aceite de oliva para asar la carne,aceite de oliva,1
ears fresh corn cut into 3 pieces,ears fresh corn cut into 3 piec,1
dulce de leche o arequipe,dulce de leche o arequipe,1
dulce de leche o a su gusto y mas para servir,dulce de leche o a su gusto y mas para servir,1
manteca de cerdo,manteca de cerdo,1
mangos maduros pelados y,mango maduro,1
mango y,mango,1
maiz peto remojado durante la noche,maiz peto remojado durante la noche,1
maiz peto,maiz peto,1
maiz o papel de aluminio para envolver,maiz o papel de aluminio para envolver,1
maiz de maiz,maiz de maiz,1
"mazorcas de maiz fresco,",mazorca de maiz,1
mazorcas de maiz desgranadas,mazorca de maiz desgranada,1
docenas de huevos de codorniz,docena de huevo de codorniz,1
dip roasted red pepper and onion dip robert rothschild farms,dip roasted red pepper and onion dip robert rothschild farm,1
de14 oz de leche de coco,de14 oz de leche de coco,1
cups of water,cups of water,1
cup chopped fresh cilantro,cilantro,1
cup alinos,cup alino,1
cuarto de taza de vinagre blanco,cuarto de taza de vinagre,1
cuarto de taza de pimienton rojo,pimienton rojo,1
cuarto de taza de leche,cuarto de taza de leche,1
cuarto de taza de cilantro,cilantro,1
cuarto de taza de aceitunas verdes,cuarto de taza de aceituna,1
cuarto de cucharadita de pimienta,cuarto de cucharadita de pimienta,1
"masarepa o harina de maiz blanco precocida, tamizada",harina de arepa,1
mantequilla y mas para engrasar los moldes,mantequilla y mas para engrasar los mold,1
cuajada,cuajada,1
crema espesa y mas para servir,crema espesa y mas para servir,1
crema espesa y 1 poco mas,crema espesa y 1 poco mas,1
crema espesa para servir,crema espesa para servir,1
crema espesa,crema espesa,1
crema agria,crema agria,1
costillas o hueso de cerdo,costilla o hueso de cerdo,1
costillas o de carne de res para estofado,carne de res,1
costillas de de cerdo sin hueso y,costilla de de cerdo sin hueso,1
moras,mora,1
mondongo o callo pequenos,mondongo o callo,1
miel,miel,1
menta,menta,1
